image,generated_caption,bleu,meteor,rougeL
1000268201_693b08cb0e.jpg,a little girl in a pink dress,0.8668778997501817,0.5118499012508229,0.7368421052631579
1001773457_577c3a7d70.jpg,two dogs playing on the road,0.18660152436542707,0.39349593495934965,0.5555555555555556
1002674143_1b742ab4b8.jpg,a child sitting in the grass,0.15091675624784212,0.30671296296296297,0.4
1003163366_44323f5815.jpg,a woman laying on a bench,0.12774827614356976,0.39349593495934965,0.5555555555555556
1007129816_e794419615.jpg,man wearing a hat,0.05731447445024055,0.3713235294117647,0.5333333333333333
1007320043_627395c3d8.jpg,a young girl climbing on a rope,0.28150046383044863,0.5645569620253165,0.7142857142857143
1009434119_febe49276a.jpg,a dog running in a field,0.1782870814692948,0.3289473684210526,0.4705882352941177
1012212859_01547e3f17.jpg,a dog playing with a ball,0.18817320787862926,0.36666666666666664,0.5263157894736842
1015118661_980735411b.jpg,a young boy is walking down the street,0.25655257003848936,0.605,0.6666666666666666
1015584366_dfcec3c85a.jpg,a dog is sitting on a log in the grass,0.0926349177498453,0.38490853658536583,0.47058823529411764
101654506_8eb26cfb60.jpg,a dog running in the snow,0.7071067811865475,0.8534621578099838,0.923076923076923
101669240_b2d3e7f17b.jpg,a man on skis,0.08916430359586963,0.28586839266450914,0.39999999999999997
1016887272_03199f49c4.jpg,a large rock wall,0.02301327868302185,0.12396694214876032,0.375
1019077836_6fc9b15408.jpg,a dog running through a hose in a yard,0.11378607114611274,0.39480452674897115,0.5
1019604187_d087bf9a5f.jpg,a dog running in the grass,0.10412185644103349,0.32763532763532766,0.42857142857142855
1020651753_06077ec457.jpg,a dog catching a frur,0.04040277907070921,0.24093511450381674,0.5333333333333333
1022454332_6af2c1449a.jpg,a body of water,0.017922759459377886,0.09036144578313253,0.23529411764705882
1022454428_b6b660a67b.jpg,a woman sitting on the grass,0.12081686022740168,0.42456140350877203,0.5882352941176471
1022975728_75515238d8.jpg,the water is wavy,0.11291470175179878,0.32327586206896547,0.4
102351840_323e3de834.jpg,a man standing on a frozen lake with a dog,0.4518010018049224,0.6233062330623306,0.7058823529411764
1024138940_f1fefbdce1.jpg,two dogs running on the beach,0.2106213001731772,0.5717948717948719,0.6153846153846153
102455176_5f8ead62d5.jpg,ice climbing wall,0.12033101329077273,0.3125,0.5
1026685415_0431cbf574.jpg,a dog with a frck,0.0770231391177663,0.331858407079646,0.5000000000000001
